pl_name,pl_orbsmax,pl_dens,st_met,st_lum,st_age
TOI-1266 b,0.073,1.54,-0.109,-1.58021,4.6
TOI-5301 b,0.073,2.88,0.03,0.81624,2.43
TOI-1798.01,0.074,2.61,0.073,-0.41567,2.6
TOI-1736 b,0.074,4.9,0.138,0.25,4.9
K2-3 b,0.0747,3.11,-0.157,-1.23136,6.9
TOI-238 c,0.0749,1.83,-0.114,-0.47083,4.3
K2-180 b,0.0756,4.16,-0.578,-0.41341,7.5
LTT 3780 c,0.0757,3.24,0.06,-1.78252,3.1
HD 25463 b,0.076,2.87,-0.018,0.47276,2.3
TOI-480 b,0.077,4.91,0.164,0.46195,2.7
TOI-2134 b,0.078,2.607,0.12,-0.7167,3.8
HD 191939 b,0.078,1.5,-0.15,-0.18709,8.7
TOI-178 e,0.0783,1.98,-0.23,-0.87943,7.1
HIP 116454 b,0.0792,3.53,0,-0.47314,5.5
TOI-3919 b,0.0795,3.63,0.175,0.33606,3.1
TOI-1174 b,0.08,11,-0.002,-0.4034,2.7
TOI-125 c,0.0814,1.73,-0.02,-0.28483,6.8
TOI-1180 b,0.082,1.93,0.067,-0.57675,5
HD 63935 b,0.083,2.32,0.107,-0.11464,6.6
TOI-1279 b,0.085,3.05,-0.079,-0.24336,4.2
LHS 1140 b,0.0875,12.5,-0.24,-2.52564,5
TOI-2076 b,0.088,4.1,0.02,-0.37779,2.7
TOI-561 c,0.089,1.46,-0.41,-0.28233,10
TOI-2025 b,0.0892,3.74,0.15,0.38739,4.5
TOI-172 b,0.0914,7.53,0.148,0.4609,7.4
Kepler-20 c,0.093,2.91,0.01,-0.14874,8.8
HIP 8152 b,0.093,2.97,0.007,-0.0804,6
HD 136352 b,0.0969,7.8,-0.25,0.03383,8.2
K2-98 b,0.0986,1.4,-0.044,0.50379,3.4
TOI-776 c,0.1,3.5,-0.2,-1.3098,7.8
TOI-178 f,0.1039,3.6,-0.23,-0.87943,7.1
HR 858 d,0.1046,4.9,0.025,0.36361,2
TOI-1266 c,0.105,2.25,-0.109,-1.58021,4.6
TOI-2443 b,0.105,2,-0.29,-0.86487,7.5
L 98-59 f,0.1052,5,-0.46,-1.91364,4.94
TOI-1422 b,0.108,1.08,-0.028,0.03302,4.6
TOI-1260 d,0.1116,2.14,-0.1,-0.88941,6.7
TOI-1723 b,0.114,1.6,0.159,0.06446,4.8
Kepler-36 b,0.1153,7.46,-0.2,0.462,6.8
HD 207897 b,0.1163,5.05,-0.042,-0.4437,7.1
Kepler-79 b,0.117,1.43,-0.0731,0.342,3.44
TOI-1759 b,0.1177,1.91,0.05,-1.05715,5
HD 135694 b,0.12,2.05,-0.121,0.03941,9.8
HD 5278 b,0.1202,2.9,-0.12,0.28035,3
TIC 237913194 b,0.1207,1.847,0.14,0.07773,5.7
TOI-757 b,0.122,3.6,-0.27,-0.37675,7.5
HD 15337 c,0.1235,3.02,0.03,-0.32606,7.5
TOI-1691 b,0.126,1.76,0.052,-0.03058,6.6
TOI-1451 b,0.127,4.67,0.019,0.02449,4
TOI-2128 b,0.127,2.68,-0.07,0.15625,4.7
HD 183579 b,0.1322,2.65,-0.038,-0.03386,3.1
TOI-2141 b,0.133,4.6,-0.12,-0.05,6.4
K2-3 c,0.1357,3.7,-0.157,-1.23136,6.9
TOI-125 d,0.137,2.98,-0.02,-0.28483,6.8
HIP 8152 c,0.139,3.63,0.007,-0.0804,6
TOI-1437 b,0.139,3.91,-0.159,0.26435,6.7
K2-115 b,0.1415,1.07,-0.198,-0.10791,2.2
TOI-2076 c,0.142,6,0.02,-0.37779,2.7
TOI-1443 b,0.147,14,-0.294,-0.42022,7.4
HD 63935 c,0.148,2.11,0.107,-0.11464,6.6
TOI-1824 b,0.151,4.24,0.124,-0.37263,2.5
TOI-1742 b,0.154,4,0.193,0.12123,3.9
TOI-561 d,0.159,2.81,-0.41,-0.28233,10
TIC 139270665 b,0.163,2.13,0.156,0.03222,3.4
HD 21520 b,0.1726,1.35,0.049,0.06595,5.3
HD 136352 c,0.1729,3.5,-0.25,0.03383,8.2
TOI-1386 b,0.173,1.04,0.149,0.0103,3.2
HD 191939 c,0.1752,1.35,-0.15,-0.18709,8.7
GJ 143 b,0.1915,7,0.003,-0.6862,3.8
TOI-2076 d,0.199,4,0.02,-0.37779,2.7
TOI-1246 e,0.212,1.83,0.168,-0.30103,6.3
TOI-1751 b,0.215,4.13,-0.373,0.29732,9
TOI-5110 b,0.2157,2.95,0.065,0.84696,4
BD+20 594 b,0.241,7.89,-0.15,-0.05552,3.34
TOI-2525 c,0.249,1.11,0.14,-0.44009,3.99
HD 35843 c,0.25,3.8,-0.27,-0.12494,2.5
K2-263 b,0.2573,5.7,-0.08,-0.25964,7
HD 95338 b,0.262,3.98,0.04,-0.3098,5.08
HIP 9618 c,0.269,1,-0.018,-0.0716,5.6
TOI-4127 b,0.3081,2.17,0.14,0.31639,4.8
TOI-561 e,0.33,4.91,-0.41,-0.28233,10
Kepler-20 d,0.3453,4.07,0.01,-0.14874,8.8
Kepler-1514 b,0.753,4.82,0.119,0.32838,2.9
Kepler-553 c,0.898,7.53,0.152,-0.27084,8.8
Kepler-849 b,1.137,3.09,0.145,0.57287,4.7
Kepler-167 e,1.883,1.68,0.02,-0.5391,7.1
Kepler-1654 b,2.026,1.2,-0.088,0.08991,5
Kepler-1704 b,2.027,4.07,0.196,0.45179,7.4
